"No.","レビュー状態","行種別","フェーズ","シナリオ名","管理ID","対象・入口条件","配信タイミング","媒体","推奨形式","管理名称","件名","本文（全文・編集可）","CTA文言","CTA URL／変数","付与ラベル","解除ラベル","停止・除外条件","終了条件／次シナリオ","実装メモ","画像URL（YouTube原本）","画像プレビュー（セル内）","UTAGE挿入位置","画像内テキスト","使用指示・注意"
"78","レビュー中","メッセージ","VSL未視聴","IG_40_VSL_未開封","rshejwulCzb8","再公開希望済み・VSL状態該当","登録から2日後 10:00","LINE","テキスト＋ボタン","VSL-U10","","【LINEメッセージ 1／text】
公開最終日になりました。🔥

AIでのひとり起業に興味がある方は、今日の予定に視聴時間を入れてください。👇

【LINEメッセージ 2／button】
{
  ""seq"": 1,
  ""type"": ""button"",
  ""alt_text"": ""【動画】本日が公開最終日です"",
  ""react_type"": ""free"",
  ""react_press_again_text"": null,
  ""thumbnail_image_url"": null,
  ""title"": ""LINE友だち限定 プレミアム無料動画"",
  ""text"": ""公開は本日まで・スマホ視聴OK"",
  ""actions"": [
    {
      ""type"": ""url"",
      ""label"": ""動画を見る"",
      ""uri"": ""[VSLURL]"",
      ""add_label_id"": null,
      ""del_label_id"": null
    }
  ]
}","動画を見る","[VSLURL｜視聴開始ACT-VSL-START（YouTube action複製）]","","","vsl_main_started / vsl_main_completed / roadmap_page_clicked_unbooked / offer_consult_48h_active / roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","視聴開始→VSL途中／未視聴→継続／初回押下72時間→ACT-VSL-EXPIRE","YouTube原文・絵文字・パネル構成を転用。URLと日時だけ媒体変数へ差し替える。","","","本文直前（画像→本文→CTA）","","YouTube原文をそのまま使用。"
"79","レビュー中","メッセージ","VSL未視聴","IG_40_VSL_未開封","rSdX9Ug0LLj1","再公開希望済み・VSL状態該当","登録から2日後 12:00","LINE","テキスト","VSL-U11","","【LINEメッセージ 1／text】
あと半日ほどで終了します。⏰

ページを開いていないまま期限を迎えると、今回の動画は見られなくなります。
今のうちにご覧ください。🔥","","[VSLURL｜視聴開始ACT-VSL-START（YouTube action複製）]","","","vsl_main_started / vsl_main_completed / roadmap_page_clicked_unbooked / offer_consult_48h_active / roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","視聴開始→VSL途中／未視聴→継続／初回押下72時間→ACT-VSL-EXPIRE","YouTube原文・絵文字・パネル構成を転用。URLと日時だけ媒体変数へ差し替える。","","","本文直前（画像→本文→CTA）","","YouTube原文をそのまま使用。"
"80","レビュー中","メッセージ","VSL未視聴","IG_40_VSL_未開封","5LCZMUE4Si6x","再公開希望済み・VSL状態該当","登録から2日後 15:00","LINE","テキスト＋ボタン","VSL-U12","","【LINEメッセージ 1／text】
%line_name%さん、まだ間に合います。😊

完璧に理解しようとせず、まず全体像を通して見るのがおすすめです。公開は本日23:59までです。👇

【LINEメッセージ 2／button】
{
  ""seq"": 1,
  ""type"": ""button"",
  ""alt_text"": ""【動画】公開は本日23:59まで"",
  ""react_type"": ""free"",
  ""react_press_again_text"": null,
  ""thumbnail_image_url"": null,
  ""title"": ""LINE友だち限定 プレミアム無料動画"",
  ""text"": ""公開は本日23:59まで"",
  ""actions"": [
    {
      ""type"": ""url"",
      ""label"": ""動画を見る"",
      ""uri"": ""[VSLURL]"",
      ""add_label_id"": null,
      ""del_label_id"": null
    }
  ]
}","動画を見る","[VSLURL｜視聴開始ACT-VSL-START（YouTube action複製）]","","","vsl_main_started / vsl_main_completed / roadmap_page_clicked_unbooked / offer_consult_48h_active / roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","視聴開始→VSL途中／未視聴→継続／初回押下72時間→ACT-VSL-EXPIRE","YouTube原文・絵文字・パネル構成を転用。URLと日時だけ媒体変数へ差し替える。","","","本文直前（画像→本文→CTA）","","YouTube原文をそのまま使用。"
"81","レビュー中","メッセージ","VSL未視聴","IG_40_VSL_未開封","8lEagN0kny0j","再公開希望済み・VSL状態該当","登録から2日後 18:00","LINE","テキスト","VSL-U13","","【LINEメッセージ 1／text】
残り6時間。⏰

限定公開は今夜で終了します。AIの情報収集から、自分の事業を作る側へ進みたい方はご視聴ください。✨","","[VSLURL｜視聴開始ACT-VSL-START（YouTube action複製）]","","","vsl_main_started / vsl_main_completed / roadmap_page_clicked_unbooked / offer_consult_48h_active / roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","視聴開始→VSL途中／未視聴→継続／初回押下72時間→ACT-VSL-EXPIRE","YouTube原文・絵文字・パネル構成を転用。URLと日時だけ媒体変数へ差し替える。","","","本文直前（画像→本文→CTA）","","YouTube原文をそのまま使用。"
"82","レビュー中","メッセージ","VSL未視聴","IG_40_VSL_未開封","hYYgJFw7xNEl","再公開希望済み・VSL状態該当","登録から2日後 21:00","LINE","テキスト＋ボタン","VSL-U14","","【LINEメッセージ 1／text】
終了まであと3時間です。⏰

視聴するか迷っていた方へ。ページを開けるのは本日23:59までです。👇

【LINEメッセージ 2／button】
{
  ""seq"": 1,
  ""type"": ""button"",
  ""alt_text"": ""【動画】終了まであと3時間です"",
  ""react_type"": ""free"",
  ""react_press_again_text"": null,
  ""thumbnail_image_url"": null,
  ""title"": ""LINE友だち限定 プレミアム無料動画"",
  ""text"": ""終了まであと3時間"",
  ""actions"": [
    {
      ""type"": ""url"",
      ""label"": ""動画を見る"",
      ""uri"": ""[VSLURL]"",
      ""add_label_id"": null,
      ""del_label_id"": null
    }
  ]
}","動画を見る","[VSLURL｜視聴開始ACT-VSL-START（YouTube action複製）]","","","vsl_main_started / vsl_main_completed / roadmap_page_clicked_unbooked / offer_consult_48h_active / roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","視聴開始→VSL途中／未視聴→継続／初回押下72時間→ACT-VSL-EXPIRE","YouTube原文・絵文字・パネル構成を転用。URLと日時だけ媒体変数へ差し替える。","","","本文直前（画像→本文→CTA）","","YouTube原文をそのまま使用。"
"83","レビュー中","メッセージ","VSL未視聴","IG_40_VSL_未開封","ZjANTpPHmTOH","再公開希望済み・VSL状態該当","登録から2日後 23:00","LINE","テキスト","VSL-U15","","【LINEメッセージ 1／text】
あと1時間で公開終了です。⏰

これが3日限定公開の最後のご案内です。今すぐ視聴ページを開いてください。🔥","","[VSLURL｜視聴開始ACT-VSL-START（YouTube action複製）]","","","vsl_main_started / vsl_main_completed / roadmap_page_clicked_unbooked / offer_consult_48h_active / roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","視聴開始→VSL途中／未視聴→継続／初回押下72時間→ACT-VSL-EXPIRE","YouTube原文・絵文字・パネル構成を転用。URLと日時だけ媒体変数へ差し替える。","","","本文直前（画像→本文→CTA）","","YouTube原文をそのまま使用。"
"84","レビュー中","メッセージ","VSL途中","IG_40_VSL_一部視聴","jd8LZ2WGD22p","再公開希望済み・VSL状態該当","登録から 0日 0時間 30分後","LINE","テキスト","VSL-P01","","【LINEメッセージ 1／text】
動画（VSL）を開いていただき、
ありがとうございます！😊🌟

もし途中で忙しくなって止めてしまっていた場合は、
こちらからすぐに「続き」から再開できます👇🎥
[VSLURL]","続きを見る","[VSLURL｜視聴完了ACT-VSL-COMPLETE（YouTube判定複製）]","","","vsl_main_completed / roadmap_page_clicked_unbooked / offer_consult_48h_active / roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","視聴完了→VSL完了・面談／初回押下72時間→ACT-VSL-EXPIRE","吉本さん原案 VSL-P01 の文章・絵文字を使用。配信時刻・分岐・変数は確定済みInstagram設計を優先。","","","本文直前（画像→本文→CTA）","","吉本さん原案 VSL-P01 を基礎。文章・絵文字を優先し、配信時刻・分岐・変数だけ現行確定ルールへ合わせる。"
"85","レビュー中","メッセージ","VSL途中","IG_40_VSL_一部視聴","RLqgOQRNAf29","再公開希望済み・VSL状態該当","登録から0日後 17:00","LINE","テキスト","VSL-P02","","【LINEメッセージ 1／text】
忙しい毎日ですので、動画を一度に
最後まで見られなくても大丈夫です😊🌱

ただ、全体の内容がつながっているため、
【公開期間中】に最後までチェックしていただくのが、
1番理解が深まるのでおすすめです👇🎥
[VSLURL]","続きから視聴する","[VSLURL｜視聴完了ACT-VSL-COMPLETE（YouTube判定複製）]","","","vsl_main_completed / roadmap_page_clicked_unbooked / offer_consult_48h_active / roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","視聴完了→VSL完了・面談／初回押下72時間→ACT-VSL-EXPIRE","吉本さん原案 VSL-P02 の文章・絵文字を使用。配信時刻・分岐・変数は確定済みInstagram設計を優先。","","","本文直前（画像→本文→CTA）","","吉本さん原案 VSL-P02 を基礎。文章・絵文字を優先し、配信時刻・分岐・変数だけ現行確定ルールへ合わせる。"
"86","レビュー中","メッセージ","VSL途中","IG_40_VSL_一部視聴","1P8u09TqQLyk","再公開希望済み・VSL状態該当","登録から0日後 21:00","LINE","テキスト","VSL-P03","","【LINEメッセージ 1／text】
動画が途中で止まってしまっている方へ📣🌱

「もし自分がAIを使うなら、どんなことができるかな？」
とご自身の状況に置き換えながら、
ぜひ続きをのぞいてみてください😊🎥👇
[VSLURL]","視聴を再開する","[VSLURL｜視聴完了ACT-VSL-COMPLETE（YouTube判定複製）]","","","vsl_main_completed / roadmap_page_clicked_unbooked / offer_consult_48h_active / roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","視聴完了→VSL完了・面談／初回押下72時間→ACT-VSL-EXPIRE","吉本さん原案 VSL-P03 の文章・絵文字を使用。配信時刻・分岐・変数は確定済みInstagram設計を優先。","","","本文直前（画像→本文→CTA）","","吉本さん原案 VSL-P03 を基礎。文章・絵文字を優先し、配信時刻・分岐・変数だけ現行確定ルールへ合わせる。"
"87","レビュー中","メッセージ","VSL途中","IG_40_VSL_一部視聴","hZGpXnuEz1xg","再公開希望済み・VSL状態該当","登録から1日後 09:00","LINE","テキスト","VSL-P04","","【LINEメッセージ 1／text】
動画の公開は【本日が最終日】です！⏰😭

途中までご覧いただいた方は、
完全に非公開になってしまう前に、
ぜひこちらのリンクから続きへ戻ってくださいね👇🎥
[VSLURL]","続きから再生する","[VSLURL｜視聴完了ACT-VSL-COMPLETE（YouTube判定複製）]","","","vsl_main_completed / roadmap_page_clicked_unbooked / offer_consult_48h_active / roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","視聴完了→VSL完了・面談／初回押下72時間→ACT-VSL-EXPIRE","吉本さん原案 VSL-P04 の文章・絵文字を使用。配信時刻・分岐・変数は確定済みInstagram設計を優先。","","","本文直前（画像→本文→CTA）","","吉本さん原案 VSL-P04 を基礎。文章・絵文字を優先し、配信時刻・分岐・変数だけ現行確定ルールへ合わせる。"
"88","レビュー中","メッセージ","VSL途中","IG_40_VSL_一部視聴","suBXJeaTTYkm","再公開希望済み・VSL状態該当","登録から1日後 14:00","LINE","テキスト","VSL-P05","","【LINEメッセージ 1／text】
動画（VSL）の公開終了まで、
これが【本当に最後のご案内】となります！⏳💥

正直今回限定のセミナー動画公開になるので、
途中のまま終わらせてしまうのはもったいないと思います💦

まだ一歩踏み出すのに足踏みしているという方は、
今すぐこちらから続きをご確認ください👇🎥
[VSLURL]","今すぐ続きを見る","[VSLURL｜視聴完了ACT-VSL-COMPLETE（YouTube判定複製）]","","","vsl_main_completed / roadmap_page_clicked_unbooked / offer_consult_48h_active / roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","視聴完了→VSL完了・面談／初回押下72時間→ACT-VSL-EXPIRE","吉本さん原案 VSL-P05 の文章・絵文字を使用。配信時刻・分岐・変数は確定済みInstagram設計を優先。","","","本文直前（画像→本文→CTA）","","吉本さん原案 VSL-P05 を基礎。文章・絵文字を優先し、配信時刻・分岐・変数だけ現行確定ルールへ合わせる。"
"89","レビュー中","メッセージ","VSL途中","IG_40_VSL_一部視聴","6kJfk5ZhL0ZI","再公開希望済み・VSL状態該当","登録から1日後 20:00","LINE","テキスト","VSL-P06","","【LINEメッセージ 1／text】
公開期限は あと28時間です。⏰

視聴を始めた時刻にかかわらず延長はされないので、余裕があるうちに続きをご覧ください。✨","","[VSLURL｜視聴完了ACT-VSL-COMPLETE（YouTube判定複製）]","","","vsl_main_completed / roadmap_page_clicked_unbooked / offer_consult_48h_active / roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","視聴完了→VSL完了・面談／初回押下72時間→ACT-VSL-EXPIRE","YouTube原文・絵文字・パネル構成を転用。URLと日時だけ媒体変数へ差し替える。","","","本文直前（画像→本文→CTA）","","YouTube原文をそのまま使用。"
"90","レビュー中","メッセージ","VSL途中","IG_40_VSL_一部視聴","Pkn7lktciPoS","再公開希望済み・VSL状態該当","登録から2日後 09:00","LINE","テキスト","VSL-P07","","【LINEメッセージ 1／text】
本日が視聴最終日です。⏰🎥","","[VSLURL｜視聴完了ACT-VSL-COMPLETE（YouTube判定複製）]","","","vsl_main_completed / roadmap_page_clicked_unbooked / offer_consult_48h_active / roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","視聴完了→VSL完了・面談／初回押下72時間→ACT-VSL-EXPIRE","YouTube原文・絵文字・パネル構成を転用。URLと日時だけ媒体変数へ差し替える。","","","本文直前（画像→本文→CTA）","","YouTube原文をそのまま使用。"
"91","レビュー中","メッセージ","VSL途中","IG_40_VSL_一部視聴","CiZEgXL5O3Uz","再公開希望済み・VSL状態該当","登録から2日後 14:00","LINE","テキスト＋ボタン","VSL-P08","","【LINEメッセージ 1／text】
残り時間が少なくなってきました。⏰

最後には、 AIひとり起業ロードマップ作成会の無料枠も案内しております。👇

【LINEメッセージ 2／button】
{
  ""seq"": 1,
  ""type"": ""button"",
  ""alt_text"": ""【動画】公開は本日23:59まで"",
  ""react_type"": ""free"",
  ""react_press_again_text"": null,
  ""thumbnail_image_url"": null,
  ""title"": ""LINE友だち限定 プレミアム無料動画"",
  ""text"": ""公開は本日23:59まで"",
  ""actions"": [
    {
      ""type"": ""url"",
      ""label"": ""動画を見る"",
      ""uri"": ""[VSLURL]"",
      ""add_label_id"": null,
      ""del_label_id"": null
    }
  ]
}","動画を見る","[VSLURL｜視聴完了ACT-VSL-COMPLETE（YouTube判定複製）]","","","vsl_main_completed / roadmap_page_clicked_unbooked / offer_consult_48h_active / roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","視聴完了→VSL完了・面談／初回押下72時間→ACT-VSL-EXPIRE","YouTube原文・絵文字・パネル構成を転用。URLと日時だけ媒体変数へ差し替える。","","","本文直前（画像→本文→CTA）","","YouTube原文をそのまま使用。"
"92","レビュー中","メッセージ","VSL途中","IG_40_VSL_一部視聴","ETjHWlvzXGr3","再公開希望済み・VSL状態該当","登録から2日後 19:00","LINE","テキスト","VSL-P09","","【LINEメッセージ 1／text】
公開終了まであと数時間です。⏰📣","","[VSLURL｜視聴完了ACT-VSL-COMPLETE（YouTube判定複製）]","","","vsl_main_completed / roadmap_page_clicked_unbooked / offer_consult_48h_active / roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","視聴完了→VSL完了・面談／初回押下72時間→ACT-VSL-EXPIRE","YouTube原文・絵文字・パネル構成を転用。URLと日時だけ媒体変数へ差し替える。","","","本文直前（画像→本文→CTA）","","YouTube原文をそのまま使用。"
"93","レビュー中","メッセージ","VSL途中","IG_40_VSL_一部視聴","WhfdR94zX0IG","再公開希望済み・VSL状態該当","登録から2日後 22:30","LINE","テキスト＋ボタン","VSL-P10","","【LINEメッセージ 1／text】
23:59で終了します。⏰

視聴途中の方への最後のご案内です。今すぐこちらから続きをご覧ください。👇

【LINEメッセージ 2／button】
{
  ""seq"": 1,
  ""type"": ""button"",
  ""alt_text"": ""【動画】本日23:59で終了します"",
  ""react_type"": ""free"",
  ""react_press_again_text"": null,
  ""thumbnail_image_url"": null,
  ""title"": ""LINE友だち限定 プレミアム無料動画"",
  ""text"": ""本日23:59で終了"",
  ""actions"": [
    {
      ""type"": ""url"",
      ""label"": ""動画を見る"",
      ""uri"": ""[VSLURL]"",
      ""add_label_id"": null,
      ""del_label_id"": null
    }
  ]
}","動画を見る","[VSLURL｜視聴完了ACT-VSL-COMPLETE（YouTube判定複製）]","","","vsl_main_completed / roadmap_page_clicked_unbooked / offer_consult_48h_active / roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","視聴完了→VSL完了・面談／初回押下72時間→ACT-VSL-EXPIRE","YouTube原文・絵文字・パネル構成を転用。URLと日時だけ媒体変数へ差し替える。","","","本文直前（画像→本文→CTA）","","YouTube原文をそのまま使用。"
"94","レビュー中","メッセージ","VSL完了・面談","IG_40_VSL_視聴完了","DciEDgOwZDeT","再公開希望済み・VSL状態該当","登録直後","LINE","画像","VSL-C01","","【LINEメッセージ 1／text】
動画を最後までご視聴いただき、
本当にありがとうございました！😊✨

ご視聴いただいた方に特別なご案内なります...!!
学んだ内容を、
「自分の場合はどうアクションを起こせばいい？」
と具体的に整理したい方に向けて、
【30分の個別面談】をご用意いたしました！🌱👇


今回の学びを、ぜひ自分ごととしてインプットして、
貴重な一歩を踏み出すキッカケになれると嬉しいです！
ご自身が抱えている悩みや、ビジネスモデルなどがあれば、
どんなに細かいことでも構いませんので、壁打ちしましょう！☺️

▼こちらからお申し込みください！
[ロードマップ作成会URL]","個別面談の日程を見る","[ロードマップ作成会URL｜初回クリックACT-RM-PAGE（YouTube action複製）]","","","roadmap_page_clicked_unbooked / offer_consult_48h_active / roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","面談ページ初回クリック→ATT-Cのみ／未クリック→72時間終了後オプチャ","吉本さん原案 VSL-C01 の文章・絵文字を使用。配信時刻・分岐・変数は確定済みInstagram設計を優先。","https://drive.usercontent.google.com/download?id=1zDdYksox-PG8m4w80F3160DbK4iy8DOM&export=view&confirm=t","=IF(U107="""","""",IMAGE(U107))","本文直前（画像→本文→CTA）","動画視聴者へ30分無料個別面談","吉本さん原案 b8df8636-aa27-4f4a-a7a1-7ce2e3631b87.png を原寸・無加工で使用。文章・絵文字・分岐・配信時刻は承認済み行を維持する。"
"95","レビュー中","メッセージ","VSL完了・面談","IG_40_VSL_視聴完了","wh7dGNiiq0ob","再公開希望済み・VSL状態該当","登録から 0日 2時間 0分後","LINE","画像パネル＋本文＋ボタン","VSL-C02","","【LINEメッセージ 1／image】
{
  ""seq"": 0,
  ""type"": ""image"",
  ""original_content_url"": ""https://utagesystem.s3.ap-northeast-1.wasabisys.com/GX6OYW2fVtRD/VoadmjkSafaL.png""
}

【LINEメッセージ 2／text】
動画をご覧いただいた方向けに、ロードマップ作成会をご用意しています。今回を機にぜひお申し込みください👇

【LINEメッセージ 3／button】
{
  ""seq"": 2,
  ""type"": ""button"",
  ""alt_text"": ""【個別】AIひとり起業ロードマップ作成会のご案内"",
  ""react_type"": ""free"",
  ""react_press_again_text"": null,
  ""thumbnail_image_url"": null,
  ""title"": ""AIひとり起業ロードマップ作成会"",
  ""text"": ""Zoom30分・名前とメールだけで予約OK"",
  ""actions"": [
    {
      ""type"": ""url"",
      ""label"": ""日程を見て予約する"",
      ""uri"": ""[ロードマップ作成会URL]"",
      ""add_label_id"": null,
      ""del_label_id"": null
    }
  ]
}","日程を見て予約する","[ロードマップ作成会URL｜初回クリックACT-RM-PAGE（YouTube action複製）]","","","roadmap_page_clicked_unbooked / offer_consult_48h_active / roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","面談ページ初回クリック→ATT-Cのみ／未クリック→72時間終了後オプチャ","既存VSL視聴完了案内を使用。事実未確認の希少性表現は使用しない。","https://drive.usercontent.google.com/download?id=1Ohu9GY2Tfou6npPdp-9bE4CUJj4kzLxV&export=view&confirm=t","=IF(U108="""","""",IMAGE(U108))","本文直前（画像→本文→CTA）","セミナー参加者へ30分無料個別面談","吉本さん原案 6641105e-3faa-4150-9a5f-6c64d87ba6dd.png を原寸・無加工で使用。文章・絵文字・分岐・配信時刻は承認済み行を維持する。"
"96","レビュー中","メッセージ","VSL完了・面談","IG_40_VSL_視聴完了","0Qha2c1IJnIT","再公開希望済み・VSL状態該当","登録から 0日 5時間 0分後","LINE","テキスト","VSL-C03","","【LINEメッセージ 1／text】
%line_name%さん、大変申し訳ございません...!!

予想以上に個別面談へのご予約が多く、
スケジュールがパンクする手前になってきたため、
一旦今から24時間でお申し込みを締めきらせていただきます🙇💦

もしモヤモヤした悩みを抱えている。
そんな場合はぜひ個別面談を活用してください👇👍
[ロードマップ作成会URL]","空き枠を見る","[ロードマップ作成会URL｜初回クリックACT-RM-PAGE（YouTube action複製）]","","","roadmap_page_clicked_unbooked / offer_consult_48h_active / roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","面談ページ初回クリック→ATT-Cのみ／未クリック→72時間終了後オプチャ","吉本さん原案 VSL-C03 の文章・絵文字を使用。配信時刻・分岐・変数は確定済みInstagram設計を優先。","","","本文直前（画像→本文→CTA）","","吉本さん原案 VSL-C03 を基礎。文章・絵文字を優先し、配信時刻・分岐・変数だけ現行確定ルールへ合わせる。 実績・感想表現は公開前に根拠確認。"
"97","レビュー中","メッセージ","VSL完了・面談","IG_40_VSL_視聴完了","QUfY1iY6FCsU","再公開希望済み・VSL状態該当","登録から0日後 10:00","LINE","テキスト","VSL-C04","","【LINEメッセージ 1／text】
個別面談のご予約は、お名前と
メールアドレスを入力するだけで完了します📝🌱

事前の課題や、準備する資料などは一切ありませんので、
リラックスしてお気軽にお申し込みくださいね😊👇

セミナー内容を
「あぁ、良い話を聞いたな」だけで
終わらせてしまうのは正直もったいない...💦

個別面談では、あなたの今の経験や使える時間に合わせて、
「まず何から手をつければいいか」をマンツーマンで明確にします！👍✨
[ロードマップ作成会URL]","予約へ進む","[ロードマップ作成会URL｜初回クリックACT-RM-PAGE（YouTube action複製）]","","","roadmap_page_clicked_unbooked / offer_consult_48h_active / roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","面談ページ初回クリック→ATT-Cのみ／未クリック→72時間終了後オプチャ","吉本さん原案 VSL-C04 の文章・絵文字を使用。配信時刻・分岐・変数は確定済みInstagram設計を優先。","","","本文直前（画像→本文→CTA）","","吉本さん原案 VSL-C04 を基礎。文章・絵文字を優先し、配信時刻・分岐・変数だけ現行確定ルールへ合わせる。"
"98","レビュー中","メッセージ","VSL完了・面談","IG_40_VSL_視聴完了","2nRWHPzRXiBP","再公開希望済み・VSL状態該当","登録から 1日 0時間 0分後","LINE","テキスト","VSL-C05","","【LINEメッセージ 1／text】
個別面談の受付終了まで【あと3時間】となりました！⏳⏰
「まだ相談するほど考えがまとまっていない…💦」
と思っている方こそ大歓迎です！😊

この面談は、完成した計画を発表する場ではなく、
30分のおしゃべりを通して、
モヤモヤした頭をすっきり整理する場所です。

どうぞお気軽に頼ってくださいね👇🌱
自分にぴったりのAI活用ロードマップを
直接すっきり整理したい方は、
こちらからお早めにお申し込みください👇😊
[ロードマップ作成会URL]","終了前に予約する","[ロードマップ作成会URL｜初回クリックACT-RM-PAGE（YouTube action複製）]","","","roadmap_page_clicked_unbooked / offer_consult_48h_active / roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","面談ページ初回クリック→ATT-Cのみ／未クリック→72時間終了後オプチャ","吉本さん原案 VSL-C05 の文章・絵文字を使用。配信時刻・分岐・変数は確定済みInstagram設計を優先。","","","本文直前（画像→本文→CTA）","","吉本さん原案 VSL-C05 を基礎。文章・絵文字を優先し、配信時刻・分岐・変数だけ現行確定ルールへ合わせる。"
"99","レビュー中","メッセージ","VSL完了・面談","IG_40_VSL_視聴完了","JOAMSplqPBcC","再公開希望済み・VSL状態該当","登録から 1日 4時間 0分後","LINE","テキスト","VSL-C06","","【LINEメッセージ 1／text】
受付終了まで【あと1時間】です！⏰💥

動画をご視聴いただいた方限定の個別面談のご案内は、
これが本当に最後となります。💦

ここで1歩を踏み出すかどうか、
ここが未来を変える分岐点になるキッカケになればいいなと思っています🚀🔥

今後このような案内はないので、
チャンスを逃さないよう、ご希望の枠を確保してくださいね👇
[ロードマップ作成会URL]","今すぐ予約する","[ロードマップ作成会URL｜初回クリックACT-RM-PAGE（YouTube action複製）]","","","roadmap_page_clicked_unbooked / offer_consult_48h_active / roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","面談ページ初回クリック→ATT-Cのみ／未クリック→72時間終了後オプチャ","吉本さん原案 VSL-C06 の文章・絵文字を使用。配信時刻・分岐・変数は確定済みInstagram設計を優先。","","","本文直前（画像→本文→CTA）","","吉本さん原案 VSL-C06 を基礎。文章・絵文字を優先し、配信時刻・分岐・変数だけ現行確定ルールへ合わせる。"
"100","レビュー中","メッセージ","VSL完了・面談","IG_40_VSL_視聴完了","xCT9FyxEdkBJ","再公開希望済み・VSL状態該当","登録から1日後 10:00","LINE","テキスト＋ボタン","VSL-C07","","【LINEメッセージ 1／text】
予約は名前とメールアドレスの2項目で完了します😊

都合が変わった場合は日程変更できます。👇

【LINEメッセージ 2／button】
{
  ""seq"": 1,
  ""type"": ""button"",
  ""alt_text"": ""【個別】AIひとり起業ロードマップ作成会のご案内"",
  ""react_type"": ""free"",
  ""react_press_again_text"": null,
  ""thumbnail_image_url"": null,
  ""title"": ""AIひとり起業ロードマップ作成会"",
  ""text"": ""Zoom30分・名前とメールだけで予約OK"",
  ""actions"": [
    {
      ""type"": ""url"",
      ""label"": ""日程を見て予約する"",
      ""uri"": ""[ロードマップ作成会URL]"",
      ""add_label_id"": null,
      ""del_label_id"": null
    }
  ]
}","日程を見て予約する","[ロードマップ作成会URL｜初回クリックACT-RM-PAGE（YouTube action複製）]","","","roadmap_page_clicked_unbooked / offer_consult_48h_active / roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","面談ページ初回クリック→ATT-Cのみ／未クリック→72時間終了後オプチャ","YouTube原文・絵文字・パネル構成を転用。URLと日時だけ媒体変数へ差し替える。","","","本文直前（画像→本文→CTA）","","YouTube原文をそのまま使用。"
"101","レビュー中","メッセージ","VSL完了・面談","IG_40_VSL_視聴完了","brqYAbNWbjhP","再公開希望済み・VSL状態該当","登録から1日後 15:00","LINE","テキスト","VSL-C08","","【LINEメッセージ 1／text】
あと9時間でロードマップ作成会の申し込みは終了します。⏰

AIでできることが増えるほど、
「あれもこれもやらなきゃ…」と
迷ってしまいますよね🌀

大切なのは、何をするかと同時に
「今は何をやらないか（捨てるか）」を決めること💡

優先順位をすっきり整理したい方は、
ぜひ個別面談を活用してくださいね😊👇

","","[ロードマップ作成会URL｜初回クリックACT-RM-PAGE（YouTube action複製）]","","","roadmap_page_clicked_unbooked / offer_consult_48h_active / roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","面談ページ初回クリック→ATT-Cのみ／未クリック→72時間終了後オプチャ","YouTube原文・絵文字・パネル構成を転用。URLと日時だけ媒体変数へ差し替える。","","","本文直前（画像→本文→CTA）","","YouTube原文をそのまま使用。"
